新聞頻道,#genre#
寰宇財經台,http://176868.cloud/8d10c02d643cc5201e7938f9565583c8/ea967d623d200d0ff4e50afcadd7b58e/a2d3237b0f013ca56886d9a1ebafa85e/index.m3u8
SBN全球財經台,http://176868.cloud/95fb93aa02f92b4330d6998d5f03f6ef/ea967d623d200d0ff4e50afcadd7b58e/a3a354df4b84efd2e27a0424a067af9b/index.m3u8
第1商業台,http://176868.cloud/2c9d913ea7dba37496f3f77b8598e56e/ea967d623d200d0ff4e50afcadd7b58e/4eccc430f68259cfa9d7c4e90ed4fbd3/index.m3u8



綜合頻道,#genre#
Taiwan Plus,http://176868.cloud/4280a071c0eb79996451c86d194efa66/ea967d623d200d0ff4e50afcadd7b58e/e833506f626721aed4a17be10bedc79e/index.m3u8
Taiwan Plus,http://176868.cloud/3a3e666bfd3c8771d8248db6ce82ff35/ea967d623d200d0ff4e50afcadd7b58e/b37fdc1179f9896e66a5f98e630e378d/index.m3u8
台視,http://176868.cloud/344cfc4d6f8b4fd9bc60ff9731b01831/ea967d623d200d0ff4e50afcadd7b58e/df8bfbe2ee72efd80a0446d10ad0c706/index.m3u8
台視,http://176868.cloud/878bd1cfaf94a5c50eea5c3f29175886/ea967d623d200d0ff4e50afcadd7b58e/50988b5469900e6b522fbc8bdd2d126f/index.m3u8
台視,http://176868.cloud/1e698f94a17a8fbc58f1f61c4a30a7ee/ea967d623d200d0ff4e50afcadd7b58e/5aac469720a857acea523d71bf1aa01c/index.m3u8
台視,http://176868.cloud/773255e852f84157ae4d1cd982b56efd/ea967d623d200d0ff4e50afcadd7b58e/cb2c012094fad4903e1ed53fcd5e7bc8/index.m3u8
台視,http://176868.cloud/3f602ce252f080dd7224781018b69ff6/ea967d623d200d0ff4e50afcadd7b58e/d0ae82ff51fae7931523c9ef3d3a0881/index.m3u8
公視 HD,http://176868.cloud/98965f63f7202f3d35d863fc742087ff/ea967d623d200d0ff4e50afcadd7b58e/25219f0f2d1fe291e178d521d9580bda/index.m3u8
公視 HD,http://176868.cloud/04224e6c21b376d30a6bdf35757c479d/ea967d623d200d0ff4e50afcadd7b58e/ef2fbde30108030b1b6171ddbfe3dc73/index.m3u8
公視戲劇,http://176868.cloud/124c8d67f6baf9f7a9bce5d6dec39cd5/ea967d623d200d0ff4e50afcadd7b58e/1f11b7672e729b6cc59bb0789dbfcd4f/index.m3u8
公視戲劇,http://176868.cloud/9f39201a050ac711aaec62b3f6b81f9b/ea967d623d200d0ff4e50afcadd7b58e/9f2eee5b2add60fac135aacae6a1043e/index.m3u8
公視戲劇,http://176868.cloud/3aa5fa072dae82d59c7675f22f123a24/ea967d623d200d0ff4e50afcadd7b58e/479d7175d215dfe743d5d40fc9588949/index.m3u8
公視台語台,http://176868.cloud/28cb7a46e4dce821116d00a00f427cbb/ea967d623d200d0ff4e50afcadd7b58e/12a7e166dad2eab96b8d2a0545dc025d/index.m3u8
華視,http://176868.cloud/3c95a93c70d62c753da1e2a3fa843145/ea967d623d200d0ff4e50afcadd7b58e/ada030ef202c3443f022b299f7af6377/index.m3u8
華視,http://176868.cloud/57215c0f85ebeb1d7c70de64b4094dde/ea967d623d200d0ff4e50afcadd7b58e/e607e3f871d499701d936bf7e2619d38/index.m3u8
華視,http://176868.cloud/dddf9f44b8e4438959be102120ba6d10/ea967d623d200d0ff4e50afcadd7b58e/a6585e21a829bee5ce5937dce8d99a46/index.m3u8
華視,http://176868.cloud/e3eaf7231e75ed28b8995f465aa9a9e9/ea967d623d200d0ff4e50afcadd7b58e/5334f7359e41f1382ffa491ad1d57c25/index.m3u8
華視,http://176868.cloud/2abf7d00fc233edb20d29a32a07fe4ec/ea967d623d200d0ff4e50afcadd7b58e/59cd4110717522ee56ec888a21bbefd0/index.m3u8
中視,http://176868.cloud/8ac25984735376c83710a4257d7a89cc/ea967d623d200d0ff4e50afcadd7b58e/2aeb0a5a12cb94ded561bd74b839400a/index.m3u8
中視,http://176868.cloud/fa07d514fa094846d932bfb7ca413694/ea967d623d200d0ff4e50afcadd7b58e/d8b97e80609c4eb77369956012655543/index.m3u8
中視,http://176868.cloud/a9c88d2bfacc4d4fb279ad2101180d9a/ea967d623d200d0ff4e50afcadd7b58e/36cb1249b3bf0d0802d91aa0ea06ea13/index.m3u8
中視,http://176868.cloud/8dcf7b17080bb8c548dcbb547ad21d2a/ea967d623d200d0ff4e50afcadd7b58e/1fdbfca35bc6f8950b994fcb3d6fbc4b/index.m3u8
中視,http://176868.cloud/06b043eabfeb03bea0058f6981833fd3/ea967d623d200d0ff4e50afcadd7b58e/42be03a07d77b61167a017b134846407/index.m3u8
中視,http://176868.cloud/4cc8243dcea41c8c33e7fd5aae6b79f6/ea967d623d200d0ff4e50afcadd7b58e/557d546ef7fad39e88d7ec8d9f9db1ed/index.m3u8
民視,http://176868.cloud/a74a051dc46070ed6aa2076a5122ea35/ea967d623d200d0ff4e50afcadd7b58e/e9fb57c6fb98361c54f0c5602708ad10/index.m3u8
民視,http://176868.cloud/f8f14ced450ffec027a61379510f29e1/ea967d623d200d0ff4e50afcadd7b58e/648bb9db06879d9b7ae3d98d749e1478/index.m3u8
民視,http://176868.cloud/4304aae139ed6573847f495c571c00b7/ea967d623d200d0ff4e50afcadd7b58e/a39e9dc452982da934699cd15c1d6ef0/index.m3u8
民視,http://176868.cloud/9e57e8cb2aa82ee82488b20b3c4ac1af/ea967d623d200d0ff4e50afcadd7b58e/6c9086730c91e2b57225bd9865a16238/index.m3u8
民視,http://176868.cloud/f6f4ec9c5ad1d3a1b91f4db716ddb106/ea967d623d200d0ff4e50afcadd7b58e/6fc61513ffd91acbc8a8378631be0b2a/index.m3u8
民視,http://176868.cloud/0d13c1eca8c99fe59e43c97c30743a62/ea967d623d200d0ff4e50afcadd7b58e/f19d7793703c02b7f2445a337e228013/index.m3u8
TVBS HD,http://176868.cloud/409086f56f257a3b4e2ad8db6c1ae09f/ea967d623d200d0ff4e50afcadd7b58e/21a92aa7c9edd13003c654942ceec0da/index.m3u8
TVBS HD,http://176868.cloud/01846829edb068cc5a7b0e126b99bc51/ea967d623d200d0ff4e50afcadd7b58e/4045688b8afd2c2d0d49f5c703500494/index.m3u8
TVBS HD,http://176868.cloud/f0d1e3cf387d69c311dd8358098bc372/ea967d623d200d0ff4e50afcadd7b58e/544ec4e4933a0f559cca6d9a8dff9303/index.m3u8
TVBS HD,http://176868.cloud/c5b52e3c9f5af4117d04c00b90b9c2af/ea967d623d200d0ff4e50afcadd7b58e/b7ca89f12a6a8c7c89ee6399a4984d9a/index.m3u8
TVBS HD,http://176868.cloud/d44c6fbd11764ec6c237a3f38e2430a4/ea967d623d200d0ff4e50afcadd7b58e/b8414af9103aa0657c103afe1a2388ad/index.m3u8
TVBS HD,http://176868.cloud/8e06d1919dbf873bd54619e70572dab8/ea967d623d200d0ff4e50afcadd7b58e/c1c4f6d086331fd185673e92e2701c2e/index.m3u8
民視台灣台,http://176868.cloud/9abe33b76faf2537f9099d3e5571768a/ea967d623d200d0ff4e50afcadd7b58e/9308c244c61fac6dc4603fc72a7c02bf/index.m3u8
民視台灣台,http://176868.cloud/a8eb256d3172d596659ea1a00b199f04/ea967d623d200d0ff4e50afcadd7b58e/785c168e9d91b722664c1bd853b6ac23/index.m3u8
民視台灣台,http://176868.cloud/7bb96e3bf6e3bf5f208a9569a58d38fc/ea967d623d200d0ff4e50afcadd7b58e/01dc9cbb1bb00790c298a28b3c8e9a78/index.m3u8
民視台灣台,http://176868.cloud/9ab78737c119091e84bdc6921764d18d/ea967d623d200d0ff4e50afcadd7b58e/2802323f94267a8f85b25df71df9cac3/index.m3u8
民視第一台,http://176868.cloud/c15d6787a9e7d48d4545cfa4f309cb8b/ea967d623d200d0ff4e50afcadd7b58e/dd47dadefeb6ed447cfd356712e2625f/index.m3u8
民視第一台,http://176868.cloud/fcfd79a6c0ef859a332aa4e2005467aa/ea967d623d200d0ff4e50afcadd7b58e/9a3e51e90db3107393200d4964a813a7/index.m3u8
民視第一台,http://176868.cloud/5ae7a932a6a732f19f50d7e58577d93a/ea967d623d200d0ff4e50afcadd7b58e/57fd315430bf074e9ffd9a3b8d9f233b/index.m3u8
中視菁采台,http://176868.cloud/d8cdf57f9e8b78416dcfb2bffff9f1be/ea967d623d200d0ff4e50afcadd7b58e/f77aad12ca4526c400a4e0ce77a93f5e/index.m3u8
