私人專用ethtv,#genre#
Euronews(YT),https://www.youtube.com/watch?v=pykpO5kQJ98
半島電視(YT),https://www.youtube.com/watch?v=gCNeDWCI0vo
亞洲新聞台CNA(YT),https://www.youtube.com/watch?v=XWq5kBlakcQ
《現代嘉慶君》24H不間斷(YT),https://www.youtube.com/watch?v=IsFtLpSuf_g

《百萬大歌星》(YT),https://www.youtube.com/watch?v=D1bTnybY_E4
《小明星大跟班》(YT),https://www.youtube.com/watch?v=gvRVJ6oNl_A

豬哥會社(YT),https://www.youtube.com/watch?v=htGDPsz2BYI

【LIVE】《大陸尋奇》(YT),https://www.youtube.com/watch?v=n2aila3gxuY


世界電視(主),http://118.163.88.61:1935/wtvlivetv/wtv.stream/chunklist_w1580080284.m3u8
生命電視(主),http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
佛慈電視(主),https://btsu4k5-hisng.cdn.hinet.net/live/pool/btsLive2/hievent-hls/btsLive2.m3u8
HITS頻道2
Arirang阿里郎(YT),https://www.youtube.com/watch?v=CJVBX7KI5nU
華藏衛視直播HZTV(YT),https://www.youtube.com/watch?v=ypmrwYeLAaQ
正德電視(YT),https://www.youtube.com/watch?v=CHDb5D0DCkw
海豚綜合台24H(YT),https://www.youtube.com/watch?v=QUq0LD_VVaw

[Music]華語經典(YT),https://www.youtube.com/watch?v=ZxluW--lZpk
大愛一(YT),https://www.youtube.com/watch?v=oV_i3Hsl_zg
大愛二(YT),https://www.youtube.com/watch?v=DTNkEm6jaqQ
東森購物(YT),https://www.youtube.com/watch?v=ViJ3XiN6Q3M
SupremeMasterTVLive(YT),https://www.youtube.com/watch?v=qHIk_qdNFy0
桐瑛台南電視(YT),https://www.youtube.com/watch?v=zL9zsYq7yYc
海峽衛視(YT),https://www.youtube.com/watch?v=5901b5c5f53870240936be69
NASALive(YT),https://www.youtube.com/watch?v=21X5lGlDOfg
誠心電視(YT),https://www.youtube.com/watch?v=5ijhysB99TY
公視台語(YT),https://www.youtube.com/watch?v=6KlRR_DGhmI
美好購物1(YT),https://www.youtube.com/watch?v=7IyxOiGMLgw
東森購物CH60(YT),https://www.youtube.com/watch?v=u0NYyH3ZesE
lofihiphopradio(YT),https://www.youtube.com/watch?v=7NOSDKb0HlU
網路流行音樂電(YT),https://www.youtube.com/watch?v=IfNMuFqKBWs
新唐人亞太電視LIVE(YT),https://www.youtube.com/watch?v=WIhgU_mc05A
信大電視(YT),https://www.youtube.com/watch?v=qZDvTO6M8N8

《MIT台灣誌》(YT),https://www.youtube.com/watch?v=fmy-HVZtqBY
CCTV中文国际(YT),https://www.youtube.com/watch?v=9sE12tg3CmA
《飢餓遊戲》孫協志王仁甫(YT),https://www.youtube.com/watch?v=A98LJq71BZg
【重案聊天室】台灣啟示錄(YT),https://www.youtube.com/watch?v=YKor8d0UK7c
[Music]2023流行歌曲(YT),https://www.youtube.com/watch?v=NbE0YLH-9iU

GOODTV好訊息(源1),http://live.streamingfast.net/osmflivech1.m3u8
GOODTV好訊息(源2),https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8


34(VOD),https://video2.51daao.com/btt1/2021/01/20210112/a1pA2jdF/index.m3u8
33(VOD),https://video2.51daao.com/btt1/2021/01/20210112/t6Jq3qPP/index.m3u8
32(VOD),https://video2.51daao.com/btt1/2021/01/20210112/E5gmsbU5/index.m3u8
31(VOD),https://video2.51daao.com/btt1/2021/01/20210112/8vPTBXXb/index.m3u8
30(VOD),https://video2.51daao.com/btt1/2021/01/20210112/JH1hBFGL/index.m3u8
29(VOD),https://video2.51daao.com/btt1/2021/01/20210112/6iz3rsSN/index.m3u8
28(VOD),https://video2.51daao.com/btt1/2021/01/20210112/o6iE0JfL/index.m3u8
27(VOD),https://video2.51daao.com/btt1/2021/01/20210112/LBpM9asV/index.m3u8
26(VOD),https://video2.51daao.com/btt1/2021/01/20210116/RIYuMNX6/index.m3u8
25(VOD),https://video2.51daao.com/btt1/2021/01/20210120/nK2NjTQE/index.m3u8
24(VOD),https://video2.51daao.com/btt1/2021/01/20210120/Mi91NxkJ/index.m3u8
23(VOD),https://video2.51daao.com/btt1/2021/01/20210120/rM4SLnCz/index.m3u8
22(VOD),https://video2.51daao.com/btt1/2021/01/20210120/2dWWoQtk/index.m3u8
21(VOD),https://video2.51daao.com/btt1/2021/01/20210120/vgWAYAZo/index.m3u8
20(VOD),https://video2.51daao.com/btt1/2021/01/20210127/hP1ODvoI/index.m3u8
19(VOD),https://video2.51daao.com/btt1/2021/01/20210127/e4nE3H52/index.m3u8
18(VOD),https://video2.51daao.com/btt1/2021/01/20210128/uAjfPHbd/index.m3u8
17(VOD),https://video2.51daao.com/btt1/2021/01/20210128/yvyxolSA/index.m3u8
16(VOD),https://video2.51daao.com/btt1/2021/01/20210128/GpjqOwp7/index.m3u8
15(VOD),https://video2.51daao.com/btt1/2021/01/20210129/02gDjV83/index.m3u8
14(VOD),https://video2.51daao.com/btt1/2021/01/20210130/ujDdta8s/index.m3u8
13(VOD),https://video2.51daao.com/btt1/2021/02/20210207/wNtvObEg/index.m3u8
12(VOD),https://video2.51daao.com/btt1/2021/02/20210207/hwYZiYZS/index.m3u8
11(VOD),https://video2.51daao.com/btt1/2021/02/20210207/lX1stcnL/index.m3u8
10(VOD),https://video2.51daao.com/btt1/2021/02/20210207/4sqrcOu9/index.m3u8
09(VOD),https://video2.51daao.com/btt1/2021/02/20210212/rNSmBLwV/index.m3u8
08(VOD),https://video2.51daao.com/btt1/2021/02/20210212/gH5O6gOq/index.m3u8
07(VOD),https://video2.51daao.com/btt1/2021/02/20210222/hqS0Umq4/index.m3u8
06(VOD),https://video2.51daao.com/btt1/2021/02/20210227/DzukV364/index.m3u8
05(VOD),https://video2.51daao.com/btt1/2021/03/20210305/SuAEPEkH/index.m3u8
04(VOD),https://video2.51daao.com/btt1/2021/03/20210305/DkRXRNsh/index.m3u8
03(VOD),https://video2.51daao.com/btt1/2021/03/20210309/WQ1u7YIC/index.m3u8
02(VOD),https://video2.51daao.com/btt1/2021/03/20210309/rwTpu16k/index.m3u8
01(VOD),https://video2.51daao.com/btt1/2021/03/20210315/nqgw0eJK/index.m3u8
29(VOD),https://video2.51daao.com/btt1/2021/01/20210131/OB3WS438/index.m3u8
28(VOD),https://video2.51daao.com/btt1/2021/01/20210131/7haGYFAa/index.m3u8
27(VOD),https://video2.51daao.com/btt1/2021/01/20210131/BQY1vCJ4/index.m3u8
26(VOD),https://video2.51daao.com/btt1/2021/01/20210131/zDEwqelh/index.m3u8
25(VOD),https://video2.51daao.com/btt1/2021/01/20210131/eKSd5QE7/index.m3u8
23(VOD),https://video2.51daao.com/btt1/2021/01/20210131/e4CQTt8H/index.m3u8
22(VOD),https://video2.51daao.com/btt1/2021/01/20210131/x184r1n4/index.m3u8
21(VOD),https://video2.51daao.com/btt1/2021/02/20210201/nDsIoul4/index.m3u8
20(VOD),https://video2.51daao.com/btt1/2021/02/20210201/2y1YjwEL/index.m3u8
19(VOD),https://video2.51daao.com/btt1/2021/02/20210201/ozNmkdR3/index.m3u8
18(VOD),https://video2.51daao.com/btt1/2021/02/20210201/YcHjiZ7t/index.m3u8
17(VOD),https://video2.51daao.com/btt1/2021/02/20210201/mzt2nJRT/index.m3u8
16(VOD),https://video2.51daao.com/btt1/2021/02/20210201/A0yxpEqY/index.m3u8
15(VOD),https://video2.51daao.com/btt1/2021/02/20210201/Xx9Zbgkd/index.m3u8
14(VOD),https://video2.51daao.com/btt1/2021/02/20210201/LHJiAJ2L/index.m3u8
13(VOD),https://video2.51daao.com/btt1/2021/02/20210201/T6uGyIgj/index.m3u8
12(VOD),https://video2.51daao.com/btt1/2021/02/20210201/jLKNXthe/index.m3u8
11(VOD),https://video2.51daao.com/btt1/2021/02/20210202/mEMG07WV/index.m3u8
10(VOD),https://video2.51daao.com/btt1/2021/02/20210202/QmSmqiRr/index.m3u8
09(VOD),https://video2.51daao.com/btt1/2021/02/20210202/XBtcPy7V/index.m3u8
08(VOD),https://video2.51daao.com/btt1/2021/02/20210202/lwHctu4K/index.m3u8
07(VOD),https://video2.51daao.com/btt1/2021/02/20210202/9ZAJXaA9/index.m3u8
06(VOD),https://video2.51daao.com/btt1/2021/02/20210202/26nESk76/index.m3u8
05(VOD),https://video2.51daao.com/btt1/2021/02/20210202/AL7rZJm1/index.m3u8
04(VOD),https://video2.51daao.com/btt1/2021/02/20210210/GelcPLQ0/index.m3u8
03(VOD),https://video2.51daao.com/btt1/2021/02/20210222/6T5EJIqq/index.m3u8
02(VOD),https://video2.51daao.com/btt1/2021/03/20210313/osc4h1UX/index.m3u8
01(VOD),https://video2.51daao.com/btt1/2021/03/20210313/NT9t3UiF/index.m3u8





🔸晴天法国,#genre#
BBC World,http://45.228.232.219:16000/play/a0m9/index.m3u8
C8,http://144.217.72.24:80/c8/index.m3u8
W9,http://144.217.72.24:80/w9/index.m3u8
M6,http://144.217.72.24:80/m6/index.m3u8
6Ter,http://144.217.72.24:80/6ter/index.m3u8
TFX,http://144.217.72.24:80/TFX/index.m3u8
Paris Premiere,http://144.217.72.24:80/parispremiere/index.m3u8
Cherie 25,http://144.217.72.24:80/cherie25/index.m3u8
Teva,http://144.217.72.24/teva/index.m3u8
RMC Story,http://144.217.72.24/rmcstory/index.m3u8
ABC HD,http://49.0.64.96:8007/ABC
Action HD,http://49.0.64.96:8007/Action
Amazing HD,http://49.0.64.96:8007/AMAZING
CARTOON Umi HD,http://49.0.64.96:8007/Cartoonumi
Chillayo HD,http://49.0.64.96:8007/Chillayo
Cinemachi HD,http://49.0.64.96:8007/Cinemachi
Discovery HD,http://49.0.64.96:8007/Discovery
France 24 (en Francais),http://49.0.64.96:8007/France24
GINX HD,http://49.0.64.96:8007/GINX
GOLF HD,http://49.0.64.96:8007/GOLF
FBI H-Channel HD,http://49.0.64.96:8007/H-Channel
HI Fight HD,http://49.0.64.96:8007/HIFIGHT
HI Sport HD,http://49.0.64.96:8007/HiSports
IZAA HD,http://49.0.64.96:8007/IZAA
Shop Now True Select,http://49.0.64.96:8007/JAJINGJA
Kaset HD,http://49.0.64.96:8007/Kaset
DTV4 M2rock HD,http://49.0.64.96:8007/M2ROCK
DTV1 M4jazz HD,http://49.0.64.96:8007/M4JAZZ
DTV3 M6country HD,http://49.0.64.96:8007/M6COUNTRY
NBA One HD,http://49.0.64.96:8007/NBA
PetClub HD,http://49.0.64.96:8007/PetClub
PING HD,http://49.0.64.96:8007/PING
Pluse HD,http://49.0.64.96:8007/PLUSE
SANOOK HD,http://49.0.64.96:8007/Qartar
RAI Asia Intl.,http://49.0.64.96:8007/RAI_Asia
Series HD,http://49.0.64.96:8007/SERIES
Smithsonian HD,http://49.0.64.96:8007/Smithsonian
DTV2 Tennis HD,http://49.0.64.96:8007/TENNIS
Top Fight HD,http://49.0.64.96:8007/TOPFIGHT
Trace HD,http://49.0.64.96:8007/Trace
TV5,http://49.0.64.96:8007/TV5
WORLD ANIMAL HD,http://49.0.64.96:8007/Animal
WSCI HD,http://49.0.64.96:8007/WSCI
Zoomoo HD,http://49.0.64.96:8007/Zoomoo

🔸晴天巴西,#genre#
Universal,http://208.115.225.174:14128
WB TV,http://208.115.225.174:14132
Universal TV,http://208.115.225.174:14128
Warner,http://208.115.225.174:14132
HBO,http://208.115.225.174:14136
HBO 2,http://208.115.225.174:14140
HBO Mundi,http://208.115.225.174:14148
HBO Signature,http://208.115.225.174:14160
HBO,http://208.115.225.174:14165
BDMG,http://208.115.225.174:14263
SBT,http://208.115.225.174:14170
SBT1,http://208.115.225.174:14173
SBT2,http://208.115.225.174:14176
ESPN,http://51.83.238.223:16515/
Sportv 1,http://51.83.238.223:16437/
Sportv 2,http://51.83.238.223:16457/
Telecine Pipoca,http://51.83.238.223:16763/
Megapix,http://51.83.238.223:16823/
Universal Channel,http://51.83.238.223:16883/
Disney Channel,http://51.83.238.223:16274/
AXN,http://51.83.238.223:16941/
HBO,http://51.83.238.223:16045/
http://51.83.238.223:16606/
VIVO,http://51.83.238.223:16515/
http://51.83.238.223:16725/
Globo MG,http://185.150.190.225:16263/
La Red,http://45.236.175.2:1001
TVN,http://45.236.175.2:1002
CHV,http://45.236.175.2:1004
CANAL 13,http://45.236.175.2:1005
Mega,http://45.236.175.2:1003
Cartoon Network,http://45.236.175.2:1011
Nickelodeon,http://45.236.175.2:1012
24 HORAS,http://45.236.175.2:1007
CNN Chile,http://45.236.175.2:1008
CNN Espanol,http://45.236.175.2:1009
Disney Channel,http://45.236.175.2:1010
Nick Jr,http://45.236.175.2:1013
Discovery Kids,http://45.236.175.2:1014
Disney Jr,http://45.236.175.2:1015
HBO 2,http://45.236.175.2:1022
Studio Universal,http://45.236.175.2:1023
Universal,http://45.236.175.2:1018
TCM,http://45.236.175.2:1020
Space,http://45.236.175.2:1026
STAR CHANNEL,http://45.236.175.2:1027
I-Sat,http://45.236.175.2:1019
Cinemax,http://45.236.175.2:1025
Cinecanal,http://45.236.175.2:1028
HBO Family,http://45.236.175.2:1017
Warner,http://45.236.175.2:1021
HBO XTREME SD,http://45.236.175.2:1030
HBO,http://45.236.175.2:1031
TNT,http://45.236.175.2:1032
ESPN 4,http://45.236.175.2:1035
Nat Geo,http://45.236.175.2:1044
Fox Sports 1,http://45.236.175.2:1040
TNT SPORTS 2,http://45.236.175.2:1036
Fox Sports 3,http://45.236.175.2:1034
ESPN 2,http://45.236.175.2:1039
TNT SPORTS 3,http://45.236.175.2:1037
TLC,http://45.236.175.2:1042
HomeandHealth,http://45.236.175.2:1043
Discovery ID,http://45.236.175.2:1046
Animal Planet,http://45.236.175.2:1045
E Entertainment,http://45.236.175.2:1047
History Channel,http://45.236.175.2:1048
AE Mundo,http://45.236.175.2:1049
Telemundo,http://45.236.175.2:1051
Discovery Channel,http://45.236.175.2:1050
Canal Estrellas,http://45.236.175.2:1052
RCN Novelas,http://45.236.175.2:1053
MTV,http://45.236.175.2:1055
ViaX,http://45.236.175.2:1054
HBO Plus,http://45.236.175.2:1057
Zona Latina,http://45.236.175.2:1056
ESPN 4,http://45.236.175.2:1058
Fox Sports 2,http://45.236.175.2:1059
TLC,http://45.236.175.2:1060
ESPN,http://45.236.175.2:1061
A&E,http://187.95.95.247/AE/index.m3u8
Prime Box,http://187.95.95.247/Prime/index.m3u8
Star Channel,http://187.95.95.247/Star/index.m3u8
Cinecanal,http://187.95.95.247/cinecanal/index.m3u8
Nick,http://187.95.95.247/Nickelodeon/index.m3u8
Paramount,http://187.95.95.247/paramount/index.m3u8
History,http://187.95.95.247/History/index.m3u8
H2,http://187.95.95.247/h2/index.m3u8
Arte,http://187.95.95.247/ArteHD/manifest.m3u8
Lifetime,http://187.95.95.247/lifetime/manifest.m3u8
Band Sports,http://187.95.95.247/Band-Sports/index.m3u8
Band News,http://187.95.95.247/Band-News/mono.m3u8

