星視界-大陆央视,#genre#
凤凰卫视电影台,https://api.btbt.im/live?id=phtv-movies
HOY 资讯台,https://api.btbt.im/live?id=hoy-info
HOY TV,https://api.btbt.im/live?id=hoytv
HOY国际财经,https://api.btbt.im/live?id=hoy-ibc
ViuTV,https://api.btbt.im/live?id=viutv
ViuTV6,https://api.btbt.im/live?id=viutv6
天映频道,https://api.btbt.im/live?id=celestial
天映经典,https://api.btbt.im/live?id=cccm
Thrill,https://api.btbt.im/live?id=thrill
星空卫视,https://api.btbt.im/live?id=star-xing-kong
香港卫视,https://api.btbt.im/live?id=hks
澳亚卫视,https://api.btbt.im/live?id=mastv
澳门卫视,https://api.btbt.im/live?id=mstv
澳门莲花卫视,https://api.btbt.im/live?id=lotustv
澳门资讯,https://api.btbt.im/live?id=tdm-information
澳视澳门,https://api.btbt.im/live?id=tdm
HKC 18台,https://api.btbt.im/live?id=hkc18
港台电视 31,https://api.btbt.im/live?id=rthk31
港台电视 32,https://api.btbt.im/live?id=rthk32
香港Now系列,#genre#
Now 财经台,https://api.btbt.im/live?id=now-finance
Now 爆谷台,https://api.btbt.im/live?id=baogu-movies
Now 星影台,https://api.btbt.im/live?id=now-baogu-superstars
Now 新闻台,https://api.btbt.im/live?id=now-news
Now 直播台,https://api.btbt.im/live?id=now-direct
Now报价台,https://api.btbt.im/live?id=now-data
Now jelli紫金国际台,https://api.btbt.im/live?id=now-jelli
Now华剧台,https://api.btbt.im/live?id=now-chinese-drama
HBO Now115,https://api.btbt.im/live?id=Now-HBO
Now HBO Hits,https://api.btbt.im/live?id=now-hbo-hits
Now HBO Family,https://api.btbt.im/live?id=now-hbof-amily
Now HBO Signature,https://api.btbt.im/live?id=now-hbo-signature
MovieMovie,https://api.btbt.im/live?id=moviemovie
NowViu剧集台,https://api.btbt.im/live?id=now-viu-drama
Now Sports 641,https://api.btbt.im/live?id=now-sports641
Now NBA,https://api.btbt.im/live?id=now-nba
曼联电视频道,https://api.btbt.im/live?id=now-mutv
Now Sports精选,https://api.btbt.im/live?id=now-sports-prime
Now Sports 1,https://api.btbt.im/live?id=now-sports-1
Now Sports 2,https://api.btbt.im/live?id=now-sports-2
Now Sports 3,https://api.btbt.im/live?id=now-sports-3
Now Sports 4,https://api.btbt.im/live?id=now-sports-4
Now Sports 5,https://api.btbt.im/live?id=now-sports-5
Now Sports 6,https://api.btbt.im/live?id=now-sports-6
Now Sports 7,https://api.btbt.im/live?id=now-sports-7
Now Sports Plus,https://api.btbt.im/live?id=now-sports-plus
Now Sports 英超1,https://api.btbt.im/live?id=now-sports-premier-league1
Now beIN SPORTS 1,https://api.btbt.im/live?id=now-bein-sports1
Now beIN SPORTS 2,https://api.btbt.im/live?id=now-bein-sports2
Now beIN SPORTS 3,https://api.btbt.im/live?id=now-bein-sports3
Now 668,https://api.btbt.im/live?id=now-668
Now Golf 2,https://api.btbt.im/live?id=now-golf2
Now Golf 3,https://api.btbt.im/live?id=now-golf3
台湾综合,#genre#
民视,https://api.btbt.im/live?id=ftv
民视台湾台,https://api.btbt.im/live?id=ftv-tw
民视第一台,https://api.btbt.im/live?id=ftv-one
纬来日本,https://api.btbt.im/live?id=videoland-japan
纬来综合,https://api.btbt.im/live?id=videoland
八大综合,https://api.btbt.im/live?id=gtv28
八大第一,https://api.btbt.im/live?id=gtv27
TVBS 精采台,https://api.btbt.im/live?id=tvbs-jc
TVBS 欢乐台,https://api.btbt.im/live?id=tvbs-huanle
TVBS Asia,https://api.btbt.im/live?id=tvbs-asia
三立台湾台,https://api.btbt.im/live?id=settv-taiwan
三立综合台,https://api.btbt.im/live?id=settv-zonghe
台视,https://api.btbt.im/live?id=ttv
东森超视,https://api.btbt.im/live?id=ebc-super
东森综合台,https://api.btbt.im/live?id=ebc-ettv
中视,https://api.btbt.im/live?id=ctv
中视菁采台,https://api.btbt.im/live?id=bravo
中天亚洲,https://api.btbt.im/live?id=cti-asia
中天综合,https://api.btbt.im/live?id=ctitv36
华视,https://api.btbt.im/live?id=cts
LiveABC 互动英语频道,https://api.btbt.im/live?id=liveabc
好消息,https://api.btbt.im/live?id=goodtv
KLT-靖天国际台,https://api.btbt.im/live?id=jtgj
ELTA综合台,https://api.btbt.im/live?id=elta-zonghe
公视,https://api.btbt.im/live?id=pts
公视3台,https://api.btbt.im/live?id=pts-3
公视台语台,https://api.btbt.im/live?id=pts-ty
靖天综合台,https://api.btbt.im/live?id=jtzh
靖天日本台,https://api.btbt.im/live?id=jtrb
客家电视台,https://api.btbt.im/live?id=hakkatv
大爱一台,https://api.btbt.im/live?id=daai1
大爱二台,https://api.btbt.im/live?id=daai2
ARIRANG 阿里郎频道,https://api.btbt.im/live?id=arirang
台湾新闻财经,#genre#
中天新闻,https://api.btbt.im/live?id=cti-news
TVBS 新闻台,https://api.btbt.im/live?id=tvbs-news
TVBS HD,https://api.btbt.im/live?id=tvbs-hd
东森新闻,https://api.btbt.im/live?id=ebc-news
东森财经新闻,https://api.btbt.im/live?id=ebc-finance
寰宇新闻台,https://api.btbt.im/live?id=global-news
寰宇财经台,https://api.btbt.im/live?id=global-finance
寰宇新闻台湾台,https://api.btbt.im/live?id=global-news-tw
壹新闻 HD,https://api.btbt.im/live?id=nexttv
三立新闻,https://api.btbt.im/live?id=settv-news
三立iNews,https://api.btbt.im/live?id=settv-inews
中视新闻,https://api.btbt.im/live?id=ctv-news
非凡新闻,https://api.btbt.im/live?id=unique-business-news
年代新闻,https://api.btbt.im/live?id=era-news
民视新闻台,https://api.btbt.im/live?id=ftv-news
台视新闻,https://api.btbt.im/live?id=ttv-news
镜电视新闻台,https://api.btbt.im/live?id=mnews
华视新闻,https://api.btbt.im/live?id=cts-news
半岛国际新闻台,https://api.btbt.im/live?id=aljazeera
SBN 全球财经台,https://api.btbt.im/live?id=sbn
靖天资讯台,https://api.btbt.im/live?id=jtzx
台湾影音娱乐,#genre#
霹雳台湾台,https://api.btbt.im/live?id=pilitv
纬来电影台,https://api.btbt.im/live?id=videoland-movie
纬来戏剧,https://api.btbt.im/live?id=videoland-drama
TVBS综艺台,https://api.btbt.im/live?id=tvbs-zongyi
TVBS台剧台,https://api.btbt.im/live?id=tvbs-taiju
龙祥电影台,https://api.btbt.im/live?id=lstime
龙华电影台,https://api.btbt.im/live?id=ltv-movies
龙华戏剧台,https://api.btbt.im/live?id=ltv-xiju
龙华日韩台,https://api.btbt.im/live?id=ltv-rihan
东森电影,https://api.btbt.im/live?id=ebc-movie
东森戏剧,https://api.btbt.im/live?id=ebc-drama
东森洋片,https://api.btbt.im/live?id=ebc-emovie
八大精彩台,https://api.btbt.im/live?id=gtv-jct
八大戏剧,https://api.btbt.im/live?id=gtv-41
八大娱乐,https://api.btbt.im/live?id=gtv-86
八大综艺,https://api.btbt.im/live?id=grt
采昌影剧台,https://api.btbt.im/live?id=caichang
美亚电影台,https://api.btbt.im/live?id=meiah-movies
猪哥亮歌厅秀,https://api.btbt.im/live?id=zglgtx
民视综艺,https://api.btbt.im/live?id=ftv-reality
民视影剧,https://api.btbt.im/live?id=ftv-drama
三立都会台,https://api.btbt.im/live?id=settv-city
三立戏剧台,https://api.btbt.im/live?id=settv-drama
中视经典台,https://api.btbt.im/live?id=ctv-classic
中天娱乐,https://api.btbt.im/live?id=cti-yule
靖洋戏剧台,https://api.btbt.im/live?id=jyxj
靖天映画,https://api.btbt.im/live?id=jtyh
靖天电影台,https://api.btbt.im/live?id=jtdy
靖天戏剧台,https://api.btbt.im/live?id=jtxjt
韩国娱乐台 KMTV,https://api.btbt.im/live?id=kmtv
