【新聞&綜合】,#genre#
中視經典戲劇2,https://m.youtube.com/@ctvdrama_classic/streams/2
華視戲劇1,https://m.youtube.com/@cts_drama/streams/1
民視戲劇館1-【藍色水玲瓏】,https://m.youtube.com/@FTVDRAMA/streams/1
民視戲劇館2-【新玫瑰瞳鈴眼】,https://m.youtube.com/@FTVDRAMA/streams/2
民視戲劇館3-【新兵日記】,https://m.youtube.com/@FTVDRAMA/streams/3
民視戲劇館4-【廉政英雄】,https://m.youtube.com/@FTVDRAMA/streams/4
(韓)JTBC Drama,https://m.youtube.com/@JTBCdrama/streams/1


【休閒綜藝】,#genre#

【綜藝大熱門】,https://m.youtube.com/@HotDoorNight/streams/1
【非凡大探索】台北美食篇,https://m.youtube.com/@ustvfoody/streams/1
【非凡大探索】台中美食篇,https://m.youtube.com/@ustvfoody/streams/2
【非凡大探索】高雄美食篇,https://m.youtube.com/@ustvfoody/streams/3
【飢餓遊戲】,https://m.youtube.com/@HungerGames123/streams/1
【MIT台灣誌】,https://m.youtube.com/@ctvmit/streams/1
【大陸尋奇】,https://m.youtube.com/@ctvchinatv/streams/1
中視經典綜藝1-【萬秀豬王】,https://m.youtube.com/@ctvent_classic/streams/1
華視綜藝頻道1-【現代嘉慶君】,https://m.youtube.com/@CTSSHOW/streams/1
華視綜藝頻道2-【天才衝衝衝】,https://m.youtube.com/@CTSSHOW/streams/2
【豬哥會社】,https://m.youtube.com/@FTV_ZhuGeClub/streams/1
【我愛冰冰Show】,https://m.youtube.com/@ilovebingbingshow/streams/1
(韓)奔跑吧兄弟(韓國)(SBSRunningMan),https://m.youtube.com/@SBSRunningMan/streams/1
(韓)All The K-POP(韓國),https://m.youtube.com/@ALLTHEKPOP/streams/1
(韓)The K-POP(韓國),https://m.youtube.com/@thekpop/streams/1


【英文聽力練習】,#genre#
ABC Learning English 1,https://m.youtube.com/@ABCLearningEnglish/streams/1
ABC Learning English 2,https://m.youtube.com/@ABCLearningEnglish/streams/2
ABC Learning English 3,https://m.youtube.com/@ABCLearningEnglish/streams/3
ABC Learning English 4,https://m.youtube.com/@ABCLearningEnglish/streams/4
ABC Learning English 5,https://m.youtube.com/@ABCLearningEnglish/streams/5
ABC Learning English 6,https://m.youtube.com/@ABCLearningEnglish/streams/6
Learn English,https://m.youtube.com/@EnglishClass101/streams/1
English Speeches 1,https://m.youtube.com/@EnglishSpeeches/streams/1
English Speeches 2,https://m.youtube.com/@EnglishSpeeches/streams/2
English Speeches 3,https://m.youtube.com/@EnglishSpeeches/streams/3
English Speeches 4,https://m.youtube.com/@EnglishSpeeches/streams/4


【音樂&白噪音】,#genre#

【吉卜力鋼琴音樂】,https://m.youtube.com/@Ghibli-Relaxing9490/streams/1
【Starbucks Bossa Coffee】,https://m.youtube.com/@starbucksbossacoffee6122/streams/1
【滾石現場-經典神曲】,https://m.youtube.com/@rocklivelive/streams/2
【熱歌 Playlist】,https://m.youtube.com/@chinesesong2023/streams/1
【KKBOX排行榜歌曲】,https://m.youtube.com/@KKBOX2023/streams/1
【滾石現場-重回演唱會現場】,https://m.youtube.com/@rocklivelive/streams/1
